#time,accel_x,accel_y,accel_z
2995.799312,-4678.270044,-6742.071875,-9931.148486
2995.799558,-4060.566016,-4185.064502,-7603.984473
2995.799805,-3888.183496,-3859.453076,-6603.208179
2995.800051,-4237.736938,-4951.209033,-6775.590698
2995.800297,-4180.276099,-4869.806177,-9777.919580
2995.800543,-3596.090894,-3122.038965,-10357.316382
2995.800789,-1537.077466,1450.886206,-8781.931689
2995.801035,-627.280835,7311.891870,-5894.524487
2995.801281,713.472095,12617.442749,-4534.617944
2995.801528,1302.445703,15337.255835,-5688.623145
2995.801774,1537.077466,16419.434985,-7809.885815
2995.802020,2451.662500,15859.191797,-9562.441431
2995.802266,2676.717456,14441.824414,-7757.213379
2995.802512,2715.024683,13244.723584,-5659.892725
2995.802758,3418.919971,15198.392139,-5023.035083
2995.803004,3821.145850,20963.629736,-5956.773730
2995.803251,3639.186523,27447.127832,-9619.902271
2995.803497,2916.137622,32441.432495,-10280.701929
2995.803743,2269.703174,35352.781714,-9844.957227
2995.803989,2327.164014,35860.352466,-8638.279590
2995.804235,2509.123340,33882.741895,-7613.561279
2995.804481,2896.984009,29870.059912,-10218.452686
2995.804728,3117.250562,25187.001465,-12009.315527
2995.804974,2643.198633,20412.963354,-12038.045947
2995.805220,1565.807886,16237.475659,-11343.727466
2995.805466,1043.871924,11827.356201,-9323.021265
2995.805712,751.779321,7331.045483,-9830.592017
2995.805958,656.011255,4649.539624,-12224.793677
2995.806204,732.625708,3471.592407,-13263.877197
2995.806451,67.037646,3332.728711,-14015.656519
2995.806697,-598.550415,3155.557788,-12301.408130
2995.806943,-172.382520,703.895288,-10582.371338
2995.807189,914.585034,-3725.377783,-11640.608472
2995.807435,1340.752930,-5406.107349,-13163.320728
2995.807681,-186.747729,-3581.725684,-15241.487769
2995.807927,-1589.749902,-4726.154077,-14355.633154
2995.808174,-1331.176123,-7647.080103,-12478.579053
2995.808420,-349.553442,-12358.868970,-10438.719238
2995.808666,426.167896,-17180.791113,-10864.887134
2995.808912,67.037646,-20034.679492,-13239.935181
2995.809158,-1666.364355,-21164.742676,-14039.598535
2995.809404,-2408.566870,-22443.246362,-13900.734839
2995.809651,-1781.286035,-23712.173242,-10692.504614
2995.809897,-809.240161,-25828.647510,-8528.146313
2995.810143,-119.710083,-28380.866479,-9356.540088
2995.810389,536.301172,-28318.617236,-10132.261426
2995.810635,440.533105,-26001.030029,-11386.823096
2995.810881,517.147559,-25182.213062,-10232.817896
2995.811127,248.996973,-27102.362793,-7699.752539
2995.811374,-603.338818,-28854.918408,-6440.402466
2995.811620,-1331.176123,-25871.743140,-7469.909180
2995.811866,-2796.427539,-18880.674292,-9586.383447
2995.812112,-4046.200806,-11224.017383,-10960.655200
2995.812358,-4539.406348,-5702.988354,-9246.406812
2995.812604,-4065.354419,-3107.673755,-7455.543970
2995.812850,-3873.818286,-3711.012573,-6473.921289
